"X"	"Prime"	"Target"	"Description"
"1"	0	"bottle"	"budgie"	"Dissimilar"
"2"	1	"jeep"	"canary"	"Dissimilar"
"3"	2	"axe"	"turkey"	"Dissimilar"
"4"	3	"slingshot"	"hawk"	"Dissimilar"
"5"	4	"motorcycle"	"chicken"	"Dissimilar"
"6"	5	"rifle"	"dolphin"	"Dissimilar"
"7"	6	"truck"	"caribou"	"Dissimilar"
"8"	7	"microwave"	"prune"	"Dissimilar"
"9"	8	"closet"	"pineapple"	"Dissimilar"
"10"	9	"cannon"	"beets"	"Dissimilar"
"12"	11	"lamp"	"beans"	"Dissimilar"
"13"	12	"mat"	"sandals"	"Dissimilar"
"14"	13	"shed"	"camisole"	"Dissimilar"
"15"	14	"missile"	"belt"	"Dissimilar"
"16"	15	"peas"	"chandelier"	"Dissimilar"
"17"	16	"coconut"	"dresser"	"Dissimilar"
"19"	18	"bra"	"carpet"	"Dissimilar"
"20"	19	"plum"	"toaster"	"Dissimilar"
"21"	20	"parakeet"	"jar"	"Dissimilar"
"22"	21	"sword"	"pencil"	"Dissimilar"
"23"	22	"bus"	"shovel"	"Dissimilar"
"24"	23	"cushion"	"sandpaper"	"Dissimilar"
"25"	24	"yacht"	"barn"	"Dissimilar"
"26"	25	"slippers"	"ship"	"Dissimilar"
"27"	26	"crayon"	"raft"	"Dissimilar"
"28"	27	"hoe"	"subway"	"Dissimilar"
"29"	28	"pumpkin"	"cart"	"Dissimilar"
"30"	29	"moose"	"van"	"Dissimilar"
"31"	30	"finch"	"dunebuggy"	"Dissimilar"
"32"	31	"duck"	"scooter"	"Dissimilar"
"33"	32	"goose"	"tomahawk"	"Dissimilar"
"34"	33	"tie"	"bomb"	"Dissimilar"
"35"	34	"eagle"	"catapult"	"Dissimilar"
"36"	35	"whale"	"pistol"	"Dissimilar"
"37"	36	"radish"	"bazooka"	"Dissimilar"
"38"	37	"canoe"	"spear"	"Dissimilar"
"39"	38	"parakeet"	"budgie"	"Similar"
"40"	39	"finch"	"canary"	"Similar"
"41"	40	"goose"	"turkey"	"Similar"
"42"	41	"eagle"	"hawk"	"Similar"
"43"	42	"duck"	"chicken"	"Similar"
"44"	43	"whale"	"dolphin"	"Similar"
"45"	44	"moose"	"caribou"	"Similar"
"46"	45	"plum"	"prune"	"Similar"
"47"	46	"coconut"	"pineapple"	"Similar"
"48"	47	"radish"	"beets"	"Similar"
"50"	49	"peas"	"beans"	"Similar"
"51"	50	"slippers"	"sandals"	"Similar"
"52"	51	"bra"	"camisole"	"Similar"
"53"	52	"tie"	"belt"	"Similar"
"54"	53	"lamp"	"chandelier"	"Similar"
"55"	54	"closet"	"dresser"	"Similar"
"56"	55	"cushion"	"pillow"	"Similar"
"57"	56	"mat"	"carpet"	"Similar"
"58"	57	"microwave"	"toaster"	"Similar"
"59"	58	"bottle"	"jar"	"Similar"
"60"	59	"crayon"	"pencil"	"Similar"
"61"	60	"hoe"	"shovel"	"Similar"
"63"	62	"shed"	"barn"	"Similar"
"64"	63	"yacht"	"ship"	"Similar"
"65"	64	"canoe"	"raft"	"Similar"
"66"	65	"bus"	"subway"	"Similar"
"67"	66	"wagon"	"cart"	"Similar"
"68"	67	"truck"	"van"	"Similar"
"69"	68	"jeep"	"dunebuggy"	"Similar"
"70"	69	"motorcycle"	"scooter"	"Similar"
"71"	70	"axe"	"tomahawk"	"Similar"
"72"	71	"missile"	"bomb"	"Similar"
"73"	72	"slingshot"	"catapult"	"Similar"
"74"	73	"rifle"	"pistol"	"Similar"
"75"	74	"cannon"	"bazooka"	"Similar"
"76"	75	"sword"	"spear"	"Similar"
