"Noun"	"Description"
"1"	"dog"	"animate"
"2"	"cow"	"animate"
"3"	"fly"	"animate"
"4"	"snake"	"animate"
"5"	"lion"	"animate"
"6"	"bird"	"animate"
"7"	"monkey"	"animate"
"8"	"bee"	"animate"
"9"	"mouse"	"animate"
"10"	"cat"	"animate"
"11"	"pig"	"animate"
"12"	"bear"	"animate"
"13"	"cushion"	"inanimate"
"14"	"sofa"	"inanimate"
"15"	"cup"	"inanimate"
"16"	"box"	"inanimate"
"17"	"table"	"inanimate"
"18"	"case"	"inanimate"
"19"	"stool"	"inanimate"
"20"	"clock"	"inanimate"
"21"	"book"	"inanimate"
"22"	"television"	"inanimate"
"23"	"picture"	"inanimate"
"24"	"plate"	"inanimate"
